Paciente P300S04,
Eventos coincidentes encontrados (sin tmin & tmax), 3893
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 3993
IDs de los eventos, 12
getlabels Nohits 4 -> epochs, 3244
getlabels Nohits 4 -> Channels, 10
getlabels Nohits 4 -> Time, 201
getlabels Nohits 4 -> labels (longitud), 3244
getlabels Hits 4 -> epochs, 666
getlabels Hits 4 -> Channels, 10
getlabels Hits 4 -> Time, 201
getlabels Hits 4 -> labels (longitud), 666
