, Paciente meta_P300S02-lag0
Eventos coincidentes encontrados (sin tmin & tmax), 4005
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4065
IDs de los eventos, 12
getlabels Nohits -> epochs, 3335
getlabels Nohits -> Channels, 10
getlabels Nohits -> Time, 201
getlabels Nohits -> labels (longitud), 3335
getlabels Hits -> epochs, 681
getlabels Hits -> Channels, 10
getlabels Hits -> Time, 201
getlabels Hits -> labels (longitud), 681
