Muestra,Coef_erp,accuracy_prom_hnh
1,0.5,41.49908592321755
2,1.0,60.85889133992743
3,1.5,72.74266447703062
4,2.0,80.10186871753356
5,2.5,83.20734965229863
6,3.0,88.14778751487613
7,3.5,91.2857330186205
8,4.0,92.26175480753702
9,4.5,93.40224210634578
10,5.0,94.45708629023964
11,5.5,94.8312653373752
12,6.0,94.8312653373752
13,6.5,95.17457149491943
14,7.0,95.24737631184408
15,7.5,95.10164959895071
16,8.0,95.24737631184408
17,8.5,95.17457149491943
18,9.0,95.24737631184408
19,9.5,95.32006839732628
20,10.0,95.32006839732628
