Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,76.64902998236332
2,2.0,76.37298091042584
3,3.0,76.08999585749793
4,4.0,76.30345635618043
5,5.0,76.30345635618043
6,6.0,76.30345635618043
7,7.0,75.79976108901403
8,8.0,75.79976108901403
9,9.0,75.6042903658303
10,10.0,74.965645857872
11,11.0,75.25102043288156
12,12.0,75.25102043288156
13,13.0,76.24970102846208
14,14.0,77.1814880251276
15,15.0,78.1657848324515
16,16.0,76.70930077637684
17,17.0,77.1814880251276
18,18.0,77.68954795503468
19,19.0,77.43844094812447
20,20.0,77.22409211691763
