Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,71.25968992248062
2,2.0,78.71823132780082
3,3.0,87.61163527368099
4,4.0,91.8112839005334
5,5.0,92.2610706921133
6,6.0,92.87901445560064
7,7.0,94.09991386735572
8,8.0,94.66319444444444
9,9.0,95.2951388888889
10,10.0,95.53404884624996
11,11.0,95.53404884624996
12,12.0,95.53404884624996
13,13.0,95.61111111111111
14,14.0,95.61111111111111
15,15.0,95.37338551182371
16,16.0,95.37338551182371
17,17.0,95.37338551182371
18,18.0,95.13810759304756
19,19.0,95.13810759304756
20,20.0,95.13810759304756
