Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,78.81578947368422
2,2.0,78.81578947368422
3,3.0,78.81578947368422
4,4.0,78.3485171544873
5,5.0,78.3485171544873
6,6.0,78.3485171544873
7,7.0,78.3485171544873
8,8.0,78.1140350877193
9,9.0,78.81578947368422
10,10.0,79.51754385964914
11,11.0,79.29535495179667
12,12.0,79.06825389312256
13,13.0,78.58486707566462
14,14.0,78.58486707566462
15,15.0,78.1140350877193
16,16.0,78.1140350877193
17,17.0,78.1140350877193
18,18.0,77.12218337218337
19,19.0,77.12218337218337
20,20.0,77.08325436235674
