Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,69.02163257303444
2,2.0,72.45331069609507
3,3.0,70.49033766591019
4,4.0,69.09657749352405
5,5.0,67.02037351443124
6,6.0,65.560263653484
7,7.0,65.560263653484
8,8.0,66.37256824172711
9,9.0,67.02037351443124
10,10.0,67.70281732113793
11,11.0,68.95692786715102
12,12.0,68.28653428482781
13,13.0,68.85283233703387
14,14.0,69.28130360205832
15,15.0,69.33504566210044
16,16.0,70.79188757047883
17,17.0,72.50645994832041
18,18.0,73.65106306950152
19,19.0,75.70812807881772
20,20.0,74.00934620511843
