Muestra,Coef_erp,accuracy_prom_hnh
1,0.5,59.75858166729536
2,1.0,69.02163257303444
3,1.5,75.87672360568018
4,2.0,85.12254901960785
5,2.5,88.95515780909766
6,3.0,91.94412271686704
7,3.5,93.14895164464016
8,4.0,94.550685887003
9,4.5,95.34240147848112
10,5.0,95.83214995739846
11,5.5,96.11994698475812
12,6.0,96.40774401211776
13,6.5,96.85973748473748
14,7.0,97.04510622244229
15,7.5,97.04510622244229
16,8.0,96.98333806683708
17,8.5,96.98333806683708
18,9.0,96.98333806683708
19,9.5,97.106855596482
20,10.0,97.106855596482
