Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,76.64902998236332
2,2.0,76.64902998236332
3,3.0,76.64902998236332
4,4.0,76.64902998236332
5,5.0,76.64902998236332
6,6.0,76.64902998236332
7,7.0,76.64902998236332
8,8.0,76.64902998236332
9,9.0,76.64902998236332
10,10.0,76.64902998236332
11,11.0,76.64902998236332
12,12.0,76.64902998236332
13,13.0,76.64902998236332
14,14.0,76.64902998236332
15,15.0,76.64902998236332
16,16.0,76.64902998236332
17,17.0,76.64902998236332
18,18.0,76.64902998236332
19,19.0,76.64902998236332
20,20.0,76.64902998236332
