Muestra,Coef_erp,accuracy_prom_hnh
1,0.5,52.89319790704832
2,1.0,65.51789077212806
3,1.5,72.36969111969111
4,2.0,77.10187932739862
5,2.5,78.9958023894091
6,3.0,81.8905491649788
7,3.5,84.50061600785148
8,4.0,86.11185622317596
9,4.5,88.23284498685888
10,5.0,89.4574928091129
11,5.5,91.28412537917087
12,6.0,92.06381653845912
13,6.5,92.24209378407852
14,7.0,92.75632120033345
15,7.5,93.10120018679008
16,8.0,93.60042561633212
17,8.5,94.09458369468317
18,9.0,94.09458369468317
19,9.5,94.42571153064752
20,10.0,94.82304350922168
