Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,78.05816937553465
2,2.0,76.99368904188182
3,3.0,75.82686223756112
4,4.0,77.65109912627248
5,5.0,77.01784976827422
6,6.0,76.736733032344
7,7.0,77.91958041958043
8,8.0,79.83278508771929
9,9.0,82.30811403508773
10,10.0,83.13322368421052
11,11.0,81.54515327257663
12,12.0,82.32446147473074
13,13.0,81.48981399468556
14,14.0,80.56924180817985
15,15.0,78.41009921755264
16,16.0,78.41009921755264
17,17.0,78.85961479935655
18,18.0,78.4277162172329
19,19.0,78.20529542193817
20,20.0,79.07472888879335
