Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,78.81578947368422
2,2.0,87.79723882134762
3,3.0,93.90280822632845
4,4.0,96.02321165620398
5,5.0,97.0890009240507
6,6.0,97.73777259769986
7,7.0,97.91666666666669
8,8.0,97.91666666666669
9,9.0,98.13953488372094
10,10.0,98.08094092189452
11,11.0,98.08094092189452
12,12.0,98.02236483039148
13,13.0,98.02236483039148
14,14.0,98.02236483039148
15,15.0,98.02236483039148
16,16.0,98.02236483039148
17,17.0,98.02236483039148
18,18.0,98.02236483039148
19,19.0,98.02236483039148
20,20.0,98.02236483039148
