Resultados Paciente P300S01_00,Resultados Paciente P300S01_01,Resultados Paciente P300S01_010,Resultados Paciente P300S01_011,Resultados Paciente P300S01_012,Resultados Paciente P300S01_013,Resultados Paciente P300S01_014,Resultados Paciente P300S01_015,Resultados Paciente P300S01_016,Resultados Paciente P300S01_017,Resultados Paciente P300S01_018,Resultados Paciente P300S01_019,Resultados Paciente P300S01_02,Resultados Paciente P300S01_020,Resultados Paciente P300S01_021,Resultados Paciente P300S01_022,Resultados Paciente P300S01_023,Resultados Paciente P300S01_024,Resultados Paciente P300S01_025,Resultados Paciente P300S01_026,Resultados Paciente P300S01_027,Resultados Paciente P300S01_028,Resultados Paciente P300S01_029,Resultados Paciente P300S01_03,Resultados Paciente P300S01_030,Resultados Paciente P300S01_031,Resultados Paciente P300S01_032,Resultados Paciente P300S01_033,Resultados Paciente P300S01_034,Resultados Paciente P300S01_035,Resultados Paciente P300S01_036,Resultados Paciente P300S01_037,Resultados Paciente P300S01_038,Resultados Paciente P300S01_039,Resultados Paciente P300S01_04,Resultados Paciente P300S01_040,Resultados Paciente P300S01_041,Resultados Paciente P300S01_042,Resultados Paciente P300S01_043,Resultados Paciente P300S01_044,Resultados Paciente P300S01_045,Resultados Paciente P300S01_046,Resultados Paciente P300S01_047,Resultados Paciente P300S01_048,Resultados Paciente P300S01_05,Resultados Paciente P300S01_06,Resultados Paciente P300S01_07,Resultados Paciente P300S01_08,Resultados Paciente P300S01_09
1.0,2.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,3.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,4.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,5.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,6.0,7.0,8.0,9.0,10.0
1.0,2.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,3.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,4.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,5.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,6.0,7.0,8.0,9.0,10.0
0.8468776732249786,0.908662900188324,0.990990990990991,0.9909819639278558,0.99197592778335,0.99197592778335,0.9939698492462312,0.9949698189134808,0.9949698189134808,0.9949698189134808,0.9949647532729105,0.9949647532729105,0.9624505928853756,0.9949647532729105,0.9949647532729105,0.995967741935484,0.9969727547931384,0.9969727547931384,0.9949647532729105,0.9949647532729105,0.995967741935484,0.9969727547931384,0.9969727547931384,0.9791459781529296,0.9969727547931384,0.995967741935484,0.9969727547931384,0.9969727547931384,0.9969727547931384,0.9959636730575177,0.9959636730575177,0.9959636730575177,0.9959636730575177,0.9959636730575177,0.9899699097291876,0.996969696969697,0.996969696969697,0.9969727547931384,0.9969727547931384,0.997979797979798,0.9989888776541962,0.9989888776541962,0.997979797979798,0.9979777553083924,0.9909638554216867,0.9909729187562688,0.9909729187562688,0.9909819639278558,0.990990990990991
0.99,0.965,0.99,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.988,0.988,0.974,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.986,0.988,0.988,0.988,0.988,0.988,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.988,0.988,0.988,0.988,0.988,0.988,0.987,0.987,0.988,0.988,0.989,0.99
0.9128630705394192,0.935984481086324,0.990495247623812,0.98998998998999,0.9904857285928894,0.9904857285928894,0.9914786967418546,0.99197592778335,0.99197592778335,0.99197592778335,0.9914701455092824,0.9914701455092824,0.9681908548707752,0.9914701455092824,0.9914701455092824,0.9919678714859438,0.9924660974384732,0.9924660974384732,0.9914701455092824,0.9914701455092824,0.9919678714859438,0.9924660974384732,0.9924660974384732,0.9825610363726957,0.9924660974384732,0.9919678714859438,0.9924660974384732,0.9924660974384732,0.9924660974384732,0.9914615770969364,0.9914615770969364,0.9914615770969364,0.9914615770969364,0.9914615770969364,0.9884827240861292,0.9919597989949748,0.9919597989949748,0.9924660974384732,0.9924660974384732,0.9929648241206028,0.9934640522875816,0.9934640522875816,0.9929648241206028,0.9924585218702866,0.9889779559118236,0.9894842263395092,0.9894842263395092,0.98998998998999,0.990495247623812
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0.7142857142857143,0.7535211267605634,0.951219512195122,0.9466019417475728,0.9468599033816424,0.9468599033816424,0.9473684210526316,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.943127962085308,0.943127962085308,0.8645833333333334,0.943127962085308,0.943127962085308,0.9433962264150944,0.943661971830986,0.943661971830986,0.943127962085308,0.943127962085308,0.9433962264150944,0.943661971830986,0.943661971830986,0.9289340101522844,0.943661971830986,0.9433962264150944,0.943661971830986,0.943661971830986,0.943661971830986,0.9389671361502347,0.9389671361502347,0.9389671361502347,0.9389671361502347,0.9389671361502347,0.9371980676328504,0.9392523364485982,0.9392523364485982,0.943661971830986,0.943661971830986,0.9439252336448598,0.944186046511628,0.944186046511628,0.9439252336448598,0.9395348837209302,0.9375,0.9420289855072465,0.9420289855072465,0.9466019417475728,0.951219512195122
0.1225490196078431,0.5245098039215687,0.9558823529411764,0.9558823529411764,0.9607843137254902,0.9607843137254902,0.9705882352941176,0.9754901960784312,0.9754901960784312,0.9754901960784312,0.9754901960784312,0.9754901960784312,0.8137254901960784,0.9754901960784312,0.9754901960784312,0.9803921568627452,0.9852941176470588,0.9852941176470588,0.9754901960784312,0.9754901960784312,0.9803921568627452,0.9852941176470588,0.9852941176470588,0.8970588235294118,0.9852941176470588,0.9803921568627452,0.9852941176470588,0.9852941176470588,0.9852941176470588,0.9803921568627452,0.9803921568627452,0.9803921568627452,0.9803921568627452,0.9803921568627452,0.9509803921568628,0.9852941176470588,0.9852941176470588,0.9852941176470588,0.9852941176470588,0.9901960784313726,0.9950980392156864,0.9950980392156864,0.9901960784313726,0.9901960784313726,0.9558823529411764,0.9558823529411764,0.9558823529411764,0.9558823529411764,0.9558823529411764
0.209205020920502,0.6184971098265896,0.9535452322738386,0.951219512195122,0.953771289537713,0.953771289537713,0.9588377723970944,0.961352657004831,0.961352657004831,0.961352657004831,0.9590361445783132,0.9590361445783132,0.8383838383838385,0.9590361445783132,0.9590361445783132,0.9615384615384616,0.9640287769784172,0.9640287769784172,0.9590361445783132,0.9590361445783132,0.9615384615384616,0.9640287769784172,0.9640287769784172,0.9127182044887782,0.9640287769784172,0.9615384615384616,0.9640287769784172,0.9640287769784172,0.9640287769784172,0.9592326139088728,0.9592326139088728,0.9592326139088728,0.9592326139088728,0.9592326139088728,0.9440389294403894,0.9617224880382776,0.9617224880382776,0.9640287769784172,0.9640287769784172,0.9665071770334928,0.9689737470167064,0.9689737470167064,0.9665071770334928,0.9642004773269688,0.9466019417475728,0.9489051094890512,0.9489051094890512,0.951219512195122,0.9535452322738386
204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
